"keys","pt","en","es","fr","de","it","nl","pl","sv","da","nb","fi","cs","hu","ro","tr","ru","uk","ja","ko","zh"
"CAPITULOS_TITULO","Capítulos","Chapters","Capítulos","Chapitres","Kapitel","Capitoli","Hoofdstukken","Rozdziały","Kapitel","Kapitler","Kapitler","Luvut","Kapitoly","Fejezetek","Capitole","Bölümler","Главы","Розділи","チャプター","챕터","章节"
"CAPITULO_TRANCADO","Termine o capítulo anterior para abrir","Finish the previous chapter to unlock","Termina el capítulo anterior para abrir","Terminez le chapitre précédent pour ouvrir","Beende das vorige Kapitel zum Freischalten","Completa il capitolo precedente per sbloccare","Rond het vorige hoofdstuk af om te openen","Ukończ poprzedni rozdział, aby odblokować","Slutför föregående kapitel för att låsa upp","Fuldfør forrige kapitel for at låse op","Fullfør forrige kapittel for å låse opp","Suorita edellinen luku avataksesi","Dokonči předchozí kapitolu k odemčení","Fejezd be az előző fejezetet a feloldáshoz","Termină capitolul anterior pentru deblocare","Açmak için önceki bölümü bitir","Завершите предыдущую главу, чтобы открыть","Завершіть попередній розділ, щоб відкрити","前のチャプターをクリアで解放","이전 챕터를 완료하면 열립니다","完成上一章即可解锁"
"COMUM_APAGAR","Apagar","Delete","Borrar","Effacer","Löschen","Elimina","Wissen","Usuń","Radera","Slet","Slett","Poista","Smazat","Törlés","Șterge","Sil","Удалить","Видалити","削除","삭제","删除"
"COMUM_CANCELAR","Cancelar","Cancel","Cancelar","Annuler","Abbrechen","Annulla","Annuleren","Anuluj","Avbryt","Annuller","Avbryt","Peruuta","Zrušit","Mégse","Anulează","İptal","Отмена","Скасувати","キャンセル","취소","取消"
"COMUM_FECHAR","Fechar","Close","Cerrar","Fermer","Schließen","Chiudi","Sluiten","Zamknij","Stäng","Luk","Lukk","Sulje","Zavřít","Bezárás","Închide","Kapat","Закрыть","Закрити","閉じる","닫기","关闭"
"COMUM_VOLTAR","Voltar","Back","Volver","Retour","Zurück","Indietro","Terug","Wróć","Tillbaka","Tilbage","Tilbake","Takaisin","Zpět","Vissza","Înapoi","Geri","Назад","Назад","もどる","뒤로","返回"
"COMUM_VOLTAR_MENU","Voltar ao menu","Back to menu","Volver al menú","Retour au menu","Zurück zum Menü","Torna al menu","Terug naar menu","Wróć do menu","Tillbaka till menyn","Tilbage til menuen","Tilbake til menyen","Takaisin valikkoon","Zpět do nabídky","Vissza a menübe","Înapoi la meniu","Menüye dön","В меню","До меню","メニューへ","메뉴로","返回菜单"
"CONQ_CONTAGEM","%d de %d concluídas","%d of %d completed","%d de %d completados","%d sur %d obtenus","%d von %d erreicht","%d di %d completati","%d van %d behaald","%d z %d zdobytych","%d av %d klara","%d af %d fuldført","%d av %d fullført","%d/%d suoritettu","%d z %d splněno","%d / %d teljesítve","%d din %d obținute","%d / %d tamamlandı","Получено: %d из %d","Отримано: %d з %d","%d/%d 達成","%d / %d 달성","已完成 %d / %d"
"CONQ_DESBLOQUEADA","Conquista desbloqueada","Achievement unlocked","Logro desbloqueado","Succès débloqué","Erfolg freigeschaltet","Obiettivo sbloccato","Prestatie behaald","Osiągnięcie zdobyte","Prestation upplåst","Præstation låst op","Prestasjon låst opp","Saavutus avattu","Úspěch odemčen","Teljesítmény feloldva","Realizare deblocată","Başarım açıldı","Достижение получено","Досягнення отримано","実績を解除","업적 달성","成就解锁"
"CONQ_D_CAPITULO","Resolva todas as fases de %s.","Solve every level in %s.","Resuelve todos los niveles de %s.","Résolvez tous les niveaux de %s.","Löse alle Level aus %s.","Risolvi tutti i livelli di %s.","Los alle levels van %s op.","Rozwiąż wszystkie poziomy z %s.","Klara alla nivåer i %s.","Løs alle niveauer i %s.","Løs alle nivåene i %s.","Ratkaise kaikki tasot luvussa %s.","Vyřeš všechny úrovně z %s.","Oldd meg %s összes szintjét.","Rezolvă toate nivelurile din %s.","%s bölümündeki tüm seviyeleri çöz.","Пройдите все уровни главы %s.","Пройдіть усі рівні розділу %s.","%sのステージをすべてクリア。","%s의 모든 레벨을 해결하세요.","完成 %s 的所有关卡。"
"CONQ_D_ESTRELAS","Junte %d estrelas.","Collect %d stars.","Reúne %d estrellas.","Réunissez %d étoiles.","Sammle %d Sterne.","Raccogli %d stelle.","Verzamel %d sterren.","Zbierz %d gwiazdek.","Samla %d stjärnor.","Saml %d stjerner.","Samle %d stjerner.","Kerää %d tähteä.","Nasbírej %d hvězd.","Gyűjts %d csillagot.","Adună %d stele.","%d yıldız topla.","Соберите %d звёзд.","Зберіть %d зірок.","星を%d個集める。","별 %d개를 모으세요.","收集 %d 颗星。"
"CONQ_D_PERFEITO","Faça 3 estrelas em %d fases.","Get 3 stars on %d levels.","Consigue 3 estrellas en %d niveles.","Obtenez 3 étoiles sur %d niveaux.","Hol 3 Sterne in %d Leveln.","Ottieni 3 stelle in %d livelli.","Haal 3 sterren in %d levels.","Zdobądź 3 gwiazdki w %d poziomach.","Få 3 stjärnor på %d nivåer.","Få 3 stjerner på %d niveauer.","Få 3 stjerner på %d nivåer.","Saa 3 tähteä %d tasolla.","Získej 3 hvězdy v %d úrovních.","Szerezz 3 csillagot %d szinten.","Obține 3 stele în %d niveluri.","%d bölümde 3 yıldız al.","Получите 3 звезды на %d уровнях.","Отримайте 3 зірки на %d рівнях.","%dステージで星3つを取る。","레벨 %d개에서 별 3개를 받으세요.","在 %d 个关卡拿到三星。"
"CONQ_D_PRIMEIRA","Revele a sua primeira imagem.","Reveal your first picture.","Revela tu primera imagen.","Révélez votre première image.","Enthülle dein erstes Bild.","Rivela la tua prima immagine.","Onthul je eerste afbeelding.","Odkryj swój pierwszy obraz.","Avslöja din första bild.","Afslør dit første billede.","Avslør ditt første bilde.","Paljasta ensimmäinen kuvasi.","Odhal svůj první obrázek.","Fedd fel az első képedet.","Dezvăluie prima ta imagine.","İlk resmini aç.","Откройте свою первую картинку.","Відкрийте своє перше зображення.","はじめての絵を明かそう。","첫 그림을 밝히세요.","揭示你的第一幅画。"
"CONQ_D_REVELE","Revele %d imagens.","Reveal %d pictures.","Revela %d imágenes.","Révélez %d images.","Enthülle %d Bilder.","Rivela %d immagini.","Onthul %d afbeeldingen.","Odkryj %d obrazów.","Avslöja %d bilder.","Afslør %d billeder.","Avslør %d bilder.","Paljasta %d kuvaa.","Odhal %d obrázků.","Fedj fel %d képet.","Dezvăluie %d imagini.","%d resim aç.","Откройте %d картинок.","Відкрийте %d зображень.","%d枚の絵を明かす。","그림 %d개를 밝히세요.","揭示 %d 幅图画。"
"CONQ_D_SEM_ERRO","Termine %d fases sem perder vida.","Finish %d levels without losing a life.","Termina %d niveles sin perder vidas.","Terminez %d niveaux sans perdre de vie.","Beende %d Level ohne Leben zu verlieren.","Completa %d livelli senza perdere vite.","Voltooi %d levels zonder levens te verliezen.","Ukończ %d poziomów bez straty życia.","Klara %d nivåer utan att förlora liv.","Fuldfør %d niveauer uden at miste liv.","Fullfør %d nivåer uten å miste liv.","Suorita %d tasoa menettämättä elämiä.","Dokonči %d úrovní bez ztráty života.","Teljesíts %d szintet élet vesztése nélkül.","Termină %d niveluri fără să pierzi vieți.","Can kaybetmeden %d bölüm bitir.","Пройдите %d уровней, не теряя жизней.","Пройдіть %d рівнів, не втрачаючи життів.","ライフを失わず%dステージクリア。","생명을 잃지 않고 %d개 레벨을 완료하세요.","不丢生命完成 %d 关。"
"CONQ_N_CAPITULO","Capítulo %d completo","Chapter %d complete","Capítulo %d completo","Chapitre %d terminé","Kapitel %d abgeschlossen","Capitolo %d completato","Hoofdstuk %d voltooid","Rozdział %d ukończony","Kapitel %d klart","Kapitel %d fuldført","Kapittel %d fullført","Luku %d suoritettu","Kapitola %d dokončena","%d. fejezet kész","Capitolul %d complet","%d. bölüm tamam","Глава %d пройдена","Розділ %d пройдено","チャプター%dクリア","챕터 %d 완료","第 %d 章完成"
"CONQ_N_CEM","Cem estrelas","One hundred stars","Cien estrellas","Cent étoiles","Hundert Sterne","Cento stelle","Honderd sterren","Sto gwiazdek","Hundra stjärnor","Hundrede stjerner","Hundre stjerner","Sata tähteä","Sto hvězd","Száz csillag","O sută de stele","Yüz yıldız","Сто звёзд","Сто зірок","星100個","별 100개","一百颗星"
"CONQ_N_CEU","Céu estrelado","Starry sky","Cielo estrellado","Ciel étoilé","Sternenhimmel","Cielo stellato","Sterrenhemel","Rozgwieżdżone niebo","Stjärnhimmel","Stjernehimmel","Stjernehimmel","Tähtitaivas","Hvězdná obloha","Csillagos ég","Cer înstelat","Yıldızlı gökyüzü","Звёздное небо","Зоряне небо","満天の星","별이 가득한 하늘","满天星"
"CONQ_N_COLECIONADOR","Colecionador","Collector","Coleccionista","Collectionneur","Sammler","Collezionista","Verzamelaar","Kolekcjoner","Samlare","Samler","Samler","Keräilijä","Sběratel","Gyűjtő","Colecționar","Koleksiyoncu","Коллекционер","Колекціонер","コレクター","수집가","收藏家"
"CONQ_N_GALERIA","Galeria cheia","Full gallery","Galería llena","Galerie pleine","Volle Galerie","Galleria piena","Volle galerij","Pełna galeria","Fullt galleri","Fyldt galleri","Fullt galleri","Täysi galleria","Plná galerie","Tele galéria","Galerie plină","Dolu galeri","Полная галерея","Повна галерея","満員のギャラリー","가득 찬 갤러리","满满的画廊"
"CONQ_N_IMPECAVEL","Impecável","Flawless","Impecable","Sans faute","Makellos","Impeccabile","Onberispelijk","Bez zarzutu","Felfri","Fejlfri","Feilfri","Virheetön","Bezchybný","Hibátlan","Impecabil","Kusursuz","Безупречно","Бездоганно","完璧","완벽","无瑕"
"CONQ_N_MAO_FIRME","Mão firme","Steady hand","Pulso firme","Main sûre","Ruhige Hand","Mano ferma","Vaste hand","Pewna ręka","Stadig hand","Rolig hånd","Stø hånd","Vakaa käsi","Pevná ruka","Biztos kéz","Mână sigură","Sağlam el","Твёрдая рука","Тверда рука","確かな手つき","흔들림 없는 손","稳健之手"
"CONQ_N_METADE","Metade do caminho","Halfway there","Mitad del camino","À mi-chemin","Halbe Strecke","A metà strada","Halverwege","Półmetek","Halvvägs","Halvvejs","Halvveis","Puolimatka","V polovině","Félúton","La jumătatea drumului","Yarı yolda","Полпути","Півдороги","折り返し地点","반환점","过半"
"CONQ_N_OBRA","Obra completa","The whole collection","Obra completa","Collection complète","Vollständiges Werk","Opera completa","Complete collectie","Pełne dzieło","Hela samlingen","Hele samlingen","Hele samlingen","Koko kokoelma","Kompletní dílo","Teljes gyűjtemény","Colecția completă","Tam koleksiyon","Полная коллекция","Повна колекція","全作品コンプリート","전체 컬렉션","全部作品"
"CONQ_N_PERFEC","Perfeccionista","Perfectionist","Perfeccionista","Perfectionniste","Perfektionist","Perfezionista","Perfectionist","Perfekcjonista","Perfektionist","Perfektionist","Perfeksjonist","Perfektionisti","Perfekcionista","Perfekcionista","Perfecționist","Mükemmeliyetçi","Перфекционист","Перфекціоніст","完璧主義","완벽주의자","完美主义者"
"CONQ_N_PRIMEIRA","Primeira imagem","First picture","Primera imagen","Première image","Erstes Bild","Prima immagine","Eerste afbeelding","Pierwszy obraz","Första bilden","Første billede","Første bilde","Ensimmäinen kuva","První obrázek","Első kép","Prima imagine","İlk resim","Первая картинка","Перше зображення","はじめての絵","첫 그림","第一幅画"
"CONQ_N_TREZENTAS","Trezentas estrelas","Three hundred stars","Trescientas estrellas","Trois cents étoiles","Dreihundert Sterne","Trecento stelle","Driehonderd sterren","Trzysta gwiazdek","Trehundra stjärnor","Tre hundrede stjerner","Tre hundre stjerner","Kolmesataa tähteä","Tři sta hvězd","Háromszáz csillag","Trei sute de stele","Üç yüz yıldız","Триста звёзд","Триста зірок","星300個","별 300개","三百颗星"
"CONQ_TITULO","Conquistas","Achievements","Logros","Succès","Erfolge","Obiettivi","Prestaties","Osiągnięcia","Prestationer","Præstationer","Prestasjoner","Saavutukset","Úspěchy","Teljesítmények","Realizări","Başarımlar","Достижения","Досягнення","実績","업적","成就"
"CRED_L1","%d fases desenhadas à mão, em %d capítulos","%d hand-drawn levels, in %d chapters","%d niveles dibujados a mano, en %d capítulos","%d niveaux dessinés à la main, en %d chapitres","%d handgezeichnete Level in %d Kapiteln","%d livelli disegnati a mano, in %d capitoli","%d handgetekende levels, in %d hoofdstukken","%d ręcznie rysowanych poziomów w %d rozdziałach","%d handritade nivåer i %d kapitel","%d håndtegnede niveauer i %d kapitler","%d håndtegnede nivåer i %d kapitler","%d käsin piirrettyä tasoa, %d luvussa","%d ručně kreslených úrovní v %d kapitolách","%d kézzel rajzolt szint %d fejezetben","%d niveluri desenate manual, în %d capitole","%d bölümde %d elle çizilmiş seviye","%d нарисованных вручную уровней в %d главах","%d намальованих вручну рівнів у %d розділах","%d章・手描き%dステージ","%d개 챕터, 손으로 그린 %d개 레벨","%d 个章节，%d 个手绘关卡"
"CRED_L2","todas com solução única, garantida por um solucionador","every one with a unique solution, proven by a solver","todos con solución única, garantizada por un solucionador","toutes à solution unique, garantie par un solveur","alle mit eindeutiger Lösung, durch einen Solver geprüft","tutti con soluzione unica, garantita da un risolutore","allemaal met unieke oplossing, bewezen door een solver","każdy z jednym rozwiązaniem, potwierdzonym przez solver","alla med unik lösning, bevisad av en lösare","alle med én løsning, bevist af en løser","alle med én løsning, bevist av en løser","kaikilla yksi ratkaisu, ratkaisijan varmistama","všechny s jediným řešením, ověřeným řešitelem","mindegyik egyetlen megoldással, megoldó által igazolva","toate cu soluție unică, garantată de un rezolvator","hepsi tek çözümlü, bir çözücüyle doğrulanmış","у каждого единственное решение, проверенное решателем","у кожного єдиний розв'язок, перевірений розв'язувачем","すべて解が一意、ソルバーで検証済み","모두 유일해, 솔버로 검증됨","每关唯一解，经求解器验证"
"CRED_L3","a dificuldade de cada fase foi medida, não estimada","each level's difficulty was measured, not guessed","la dificultad de cada nivel fue medida, no estimada","la difficulté de chaque niveau est mesurée, pas estimée","die Schwierigkeit wurde gemessen, nicht geschätzt","la difficoltà è stata misurata, non stimata","de moeilijkheid is gemeten, niet geschat","trudność każdego poziomu zmierzono, nie oszacowano","varje nivås svårighet är mätt, inte gissad","hver banes sværhedsgrad er målt, ikke gættet","hver banes vanskelighet er målt, ikke gjettet","jokaisen tason vaikeus on mitattu, ei arvattu","obtížnost každé úrovně byla změřena, ne odhadnuta","minden szint nehézségét mértük, nem becsültük","dificultatea fiecărui nivel a fost măsurată, nu estimată","her bölümün zorluğu ölçüldü, tahmin edilmedi","сложность каждого уровня измерена, а не угадана","складність кожного рівня виміряна, а не вгадана","難易度は推測でなく計測","각 레벨의 난이도는 추측이 아니라 측정됨","每关难度经测量而非估计"
"CRED_L4","efeitos e trilha sintetizados por código, sem arquivos de áudio","sound and music synthesized in code, no audio files","sonido y música sintetizados por código, sin archivos","sons et musique synthétisés par le code, sans fichiers","Ton und Musik im Code erzeugt, ohne Audiodateien","suoni e musica sintetizzati nel codice, senza file","geluid en muziek in code gemaakt, zonder bestanden","dźwięk i muzyka generowane kodem, bez plików","ljud och musik skapas i kod, utan filer","lyd og musik skabt i kode, uden filer","lyd og musikk laget i kode, uten filer","äänet ja musiikki koodilla, ei tiedostoja","zvuk i hudba generované kódem, bez souborů","hang és zene kódból, hangfájlok nélkül","sunet și muzică sintetizate în cod, fără fișiere","ses ve müzik kodla üretildi, dosyasız","звук и музыка синтезированы кодом, без файлов","звук і музика синтезовані кодом, без файлів","音は全てコードで合成、音声ファイルなし","소리와 음악은 코드로 합성, 오디오 파일 없음","音效与音乐由代码合成，无音频文件"
"CRED_L5","feito em Godot 4.6","made in Godot 4.6","hecho en Godot 4.6","réalisé avec Godot 4.6","erstellt mit Godot 4.6","realizzato in Godot 4.6","gemaakt in Godot 4.6","zrobione w Godot 4.6","gjort i Godot 4.6","lavet i Godot 4.6","laget i Godot 4.6","tehty Godot 4.6:lla","vytvořeno v Godot 4.6","Godot 4.6-ban készült","realizat în Godot 4.6","Godot 4.6 ile yapıldı","сделано в Godot 4.6","зроблено в Godot 4.6","Godot 4.6 で制作","Godot 4.6로 제작","使用 Godot 4.6 制作"
"CRED_SUB","um jogo de picross","a picross game","un juego de picross","un jeu de picross","ein Picross-Spiel","un gioco di picross","een picrossspel","gra typu picross","ett picrossspel","et picross-spil","et picross-spill","picross-peli","picrossová hra","egy picross játék","un joc picross","bir picross oyunu","игра-пикросс","гра-пікрос","ピクロスゲーム","피크로스 게임","数织游戏"
"DERROTA_TENTAR","Tentar de novo","Try again","Intentar de nuevo","Réessayer","Nochmal versuchen","Riprova","Opnieuw proberen","Spróbuj ponownie","Försök igen","Prøv igen","Prøv igjen","Yritä uudelleen","Zkusit znovu","Újra","Încearcă din nou","Tekrar dene","Попробовать снова","Спробувати ще","もういちど","다시 시도","再试一次"
"DERROTA_TEXTO","Três erros encerram a partida. O modo relaxado, nas opções, tira esse limite.","Three mistakes end the run. Relaxed mode, in the options, removes that limit.","Tres errores terminan la partida. El modo relajado, en opciones, quita ese límite.","Trois erreurs terminent la partie. Le mode détendu, dans les options, retire cette limite.","Drei Fehler beenden das Spiel. Der entspannte Modus in den Optionen hebt das auf.","Tre errori chiudono la partita. La modalità rilassata, nelle opzioni, toglie il limite.","Drie fouten beëindigen het spel. De ontspannen modus haalt die grens weg.","Trzy błędy kończą grę. Tryb spokojny w opcjach znosi ten limit.","Tre misstag avslutar omgången. Avslappnat läge tar bort gränsen.","Tre fejl afslutter spillet. Afslappet tilstand fjerner grænsen.","Tre feil avslutter runden. Avslappet modus fjerner grensen.","Kolme virhettä päättää pelin. Rento tila poistaa rajan.","Tři chyby ukončí hru. Klidný režim tento limit ruší.","Három hiba véget vet a játéknak. A nyugodt mód eltünteti ezt a korlátot.","Trei greșeli încheie partida. Modul relaxat elimină această limită.","Üç hata oyunu bitirir. Rahat mod bu sınırı kaldırır.","Три ошибки заканчивают партию. Спокойный режим снимает это ограничение.","Три помилки завершують гру. Спокійний режим знімає це обмеження.","ミス3回でゲーム終了です。設定のリラックスモードで制限を外せます。","실수 3번이면 종료됩니다. 설정의 편안한 모드로 제한을 없앨 수 있습니다.","错误三次即结束。设置中的轻松模式可取消该限制。"
"DERROTA_TITULO","Acabaram as vidas","Out of lives","Te quedaste sin vidas","Plus de vies","Keine Leben mehr","Vite esaurite","Geen levens meer","Koniec żyć","Slut på liv","Ingen liv tilbage","Tom for liv","Elämät loppuivat","Došly životy","Elfogytak az életek","Ai rămas fără vieți","Canların bitti","Жизни закончились","Життя закінчились","ライフ切れ","생명이 없습니다","生命耗尽"
"EST_CELULAS","Células pintadas","Cells filled","Celdas pintadas","Cases remplies","Gefüllte Felder","Celle riempite","Gevulde vakjes","Wypełnione pola","Fyllda rutor","Udfyldte felter","Fylte ruter","Täytetyt ruudut","Vyplněná pole","Kitöltött mezők","Celule umplute","Doldurulan kareler","Закрашено клеток","Зафарбовано клітинок","塗ったマス","칠한 칸","已填格数"
"EST_ESTRELAS","Estrelas","Stars","Estrellas","Étoiles","Sterne","Stelle","Sterren","Gwiazdki","Stjärnor","Stjerner","Stjerner","Tähdet","Hvězdy","Csillagok","Stele","Yıldızlar","Звёзды","Зірки","星","별","星星"
"EST_PERFEITAS","Fases perfeitas","Perfect levels","Niveles perfectos","Niveaux parfaits","Perfekte Level","Livelli perfetti","Perfecte levels","Perfekcyjne poziomy","Perfekta nivåer","Perfekte niveauer","Perfekte nivåer","Täydelliset tasot","Perfektní úrovně","Tökéletes szintek","Niveluri perfecte","Kusursuz bölümler","Идеальные уровни","Ідеальні рівні","パーフェクト","완벽한 레벨","完美关卡"
"EST_POR_CAPITULO","Por capítulo","By chapter","Por capítulo","Par chapitre","Nach Kapitel","Per capitolo","Per hoofdstuk","Wg rozdziału","Per kapitel","Per kapitel","Per kapittel","Luvuittain","Podle kapitol","Fejezetenként","Pe capitole","Bölüme göre","По главам","За розділами","チャプター別","챕터별","按章节"
